input.pincode,output.city,output.state,output.lat,output.lon,output.hub,output.hub_pin,output.hub_city,output.ogl_distance,output.distance_from_hub,output.serviceable_flag
110001,Central Delhi,Delhi,28.62644,77.22,Delhi,,,,3.5292,serveciable
110002,Central Delhi,Delhi,28.63661,77.24,Delhi,,,,5.6406,serveciable
110003,Central Delhi,Delhi,28.58973,77.23,Delhi,,,,3.1437,serveciable
110004,Central Delhi,Delhi,28.61438,77.2,Delhi,,,,1.599,serveciable
110005,Central Delhi,Delhi,28.6544,77.19,Delhi,,,,6.1272,serveciable
110006,North Delhi,Delhi,28.65311,77.23,Delhi,,,,6.5916,serveciable
110007,North Delhi,Delhi,28.67768,77.2,Delhi,,,,8.6376,serveciable
110008,Central Delhi,Delhi,28.65332,77.16,Delhi,,,,7.0989,serveciable
110009,North West Delhi,Delhi,28.70762,77.2,Delhi,,,,11.9668,serveciable
110010,South West Delhi,Delhi,28.58572,77.13,Delhi,,,,7.0164,serveciable
110011,Central Delhi,Delhi,28.60279,77.21,Delhi,,,,1.0244,serveciable
110012,Central Delhi,Delhi,28.63526,77.16,Delhi,,,,5.5332,serveciable
110013,South Delhi,Delhi,28.60459,77.26,Delhi,,,,5.8797,serveciable
110014,South Delhi,Delhi,28.57747,77.27,Delhi,,,,7.2793,serveciable
110015,West Delhi,Delhi,28.65126,77.15,Delhi,,,,7.5036,serveciable
110016,South West Delhi,Delhi,28.54965,77.19,Delhi,,,,5.6832,serveciable
110017,South Delhi,Delhi,28.53168,77.22,Delhi,,,,7.8439,serveciable
110018,West Delhi,Delhi,28.64303,77.09,Delhi,,,,11.7547,serveciable
110019,South Delhi,Delhi,28.53503,77.26,Delhi,,,,9.3018,serveciable
110020,South Delhi,Delhi,28.53441,77.28,Delhi,,,,10.6878,serveciable
110021,South West Delhi,Delhi,28.59103,77.18,Delhi,,,,2.1926,serveciable
110022,South West Delhi,Delhi,28.56462,77.18,Delhi,,,,4.3921,serveciable
110023,South West Delhi,Delhi,28.57618,77.2,Delhi,,,,2.6487,serveciable
110024,South Delhi,Delhi,28.56859,77.24,Delhi,,,,5.2395,serveciable
110025,South Delhi,Delhi,28.55473,77.29,Delhi,,,,10.1279,serveciable
110026,West Delhi,Delhi,28.66996,77.14,Delhi,,,,9.7368,serveciable
110027,West Delhi,Delhi,28.64735,77.12,Delhi,,,,9.4177,serveciable
110028,South West Delhi,Delhi,28.63287,77.14,Delhi,,,,6.9036,serveciable
110029,South West Delhi,Delhi,28.56396,77.2,Delhi,,,,4.0075,serveciable
110030,South West Delhi,Delhi,28.50194,77.18,Delhi,,,,11.0774,serveciable
110031,East Delhi,Delhi,28.65591,77.27,Delhi,,,,9.2373,serveciable
110032,North East Delhi,Delhi,28.67204,77.29,Delhi,,,,11.8877,serveciable
110033,North West Delhi,Delhi,28.71406,77.17,Delhi,,,,13.0163,serveciable
110034,North West Delhi,Delhi,28.69938,77.13,Delhi,,,,12.9913,serveciable
110035,North West Delhi,Delhi,28.68057,77.16,Delhi,,,,9.7725,serveciable
110036,North West Delhi,Delhi,28.80885,77.17,Delhi,,,,23.4067,serveciable
110037,South West Delhi,Delhi,28.54934,77.1,Delhi,,,,11.2734,serveciable
110038,South West Delhi,Delhi,28.51563,77.11,Gurugram,,,,9.9696,serveciable
110039,North West Delhi,Delhi,28.79196,77.02,Delhi,,,,27.6378,serveciable
110040,North West Delhi,Delhi,28.84276,77.1,Delhi,,,,28.701,serveciable
110041,West Delhi,Delhi,28.6655,77.06,Delhi,,,,15.4835,serveciable
